fips,percent_diff,state,county,votes_dem,votes_gop,total_votes
28037,28.774591135340128,MS,Franklin County,1471,2685,4219
28039,77.70318380632692,MS,George County,1013,8652,9831
28041,62.96713615023474,MS,Greene County,956,4309,5325
28043,14.882206473855582,MS,Grenada County,4386,5940,10442
28045,59.37089684306673,MS,Hancock County,3320,13720,17517
28047,30.657581029705522,MS,Harrison County,20679,39710,62076
28049,-43.701931480510396,MS,Hinds County,64922,24919,91536
28051,-66.27395315826827,MS,Holmes County,5820,1151,7045
28053,-48.013337038066126,MS,Humphreys County,2652,924,3599
28055,-13.876967095851217,MS,Issaquena County,395,298,699
28057,75.61760431804028,MS,Itawamba County,1100,8385,9634
28059,39.84823490597162,MS,Jackson County,13087,31204,45465
28061,-3.9560699102503545,MS,Jasper County,4367,4032,8468
28063,-73.80150298004664,MS,Jefferson County,3337,489,3859
28065,-20.105820105820104,MS,Jefferson Davis County,3720,2466,6237
28067,43.63893805309734,MS,Jones County,7748,20076,28250
28069,-22.61263203276568,MS,Kemper County,2827,1778,4639
28071,14.78464514815192,MS,Lafayette County,7968,10872,19642
28073,55.62264775218164,MS,Lamar County,5044,18493,24179
28075,23.005489004729522,MS,Lauderdale County,10910,17574,28967
