"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"Paul Zipser","CHI",44,18,843,88,221,33,99,31,40,15,110,36,15,16,40,78,240,203,97,NA,1994,"Germany"
"Pierre Jackson","DAL",8,1,84,13,39,3,11,6,7,1,8,19,2,0,3,5,35,178,81,"Baylor University",1991,"Nevada"
"Quincy Acy","BRK",38,1,558,70,170,37,90,45,60,20,95,18,14,15,21,67,222,201,108,"Baylor University",1990,"Texas"
"Quinn Cook","NOP",14,0,188,33,66,11,26,2,5,1,6,26,4,0,13,13,79,188,83,"Duke University",1993,"District of Columbia"
"R.J. Hunter","CHI",3,0,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,201,104,NA,1991,NA
"Rajon Rondo","CHI",69,42,1843,229,561,50,133,30,50,73,282,461,99,11,168,144,538,185,84,"University of Kentucky",1986,"Kentucky"
"Rakeem Christmas","IND",29,0,219,19,43,0,0,21,29,26,30,4,3,6,8,37,59,206,113,"Syracuse University",1991,"New Jersey"
"Ramon Sessions","CHO",50,1,811,100,263,21,62,91,118,11,62,129,26,3,46,43,312,190,86,"University of Nevada, Reno",1986,"South Carolina"
"Randy Foye","BRK",69,40,1284,118,325,67,203,54,63,9,146,135,35,9,80,99,357,193,96,"Villanova University",1983,"New Jersey"
"Rashad Vaughn","MIL",41,2,458,57,156,26,81,2,5,4,45,23,19,10,14,32,142,198,91,"University of Nevada, Las Vegas",1996,"Minnesota"
"Raul Neto","UTA",40,0,346,41,91,10,31,8,9,4,26,34,21,5,15,48,100,185,81,NA,1992,"Brazil"
"Raymond Felton","LAC",80,11,1700,221,514,46,144,50,64,33,184,191,67,22,83,125,538,185,92,"University of North Carolina",1984,"South Carolina"
"Reggie Bullock","DET",31,5,467,54,128,28,73,5,7,13,51,29,18,3,10,22,141,201,92,"University of North Carolina",1991,"Maryland"
"Reggie Jackson","DET",52,50,1424,284,677,66,184,118,136,21,92,270,35,5,114,129,752,190,94,"Boston College",1990,"Italy"
"Reggie Williams","NOP",6,0,79,8,23,5,11,6,7,2,4,4,3,0,0,2,27,NA,NA,NA,NA,NA
"Richard Jefferson","CLE",79,13,1614,153,343,62,186,80,108,28,174,78,26,10,52,153,448,201,105,"University of Arizona",1980,"California"
"Richaun Holmes","PHI",57,17,1193,230,412,27,77,72,103,94,217,58,42,55,55,136,559,208,111,"Bowling Green State University",1993,"Illinois"
"Ricky Rubio","MIN",75,75,2469,261,650,60,196,254,285,68,237,682,128,10,195,202,836,193,87,NA,1990,"Spain"
"Robert Covington","PHI",67,67,2119,292,732,137,412,143,174,92,344,102,127,69,131,203,864,206,97,"Tennessee State University",1990,"Illinois"
"Robin Lopez","CHI",81,81,2271,382,775,0,2,75,104,243,276,80,18,117,90,151,839,213,115,"Stanford University",1988,"California"
"Rodney Hood","UTA",59,55,1593,272,666,114,307,90,115,16,186,96,38,11,65,132,748,203,93,"Duke University",1992,"Mississippi"
"Rodney McGruder","MIA",78,65,1966,190,460,73,220,44,71,95,162,124,45,18,56,140,497,193,92,"Kansas State University",1991,"Maryland"
"Rodney Stuckey","IND",39,0,696,91,244,19,60,80,107,6,78,84,16,0,53,44,281,196,95,"Eastern Washington University",1986,"Washington"
"Ron Baker","NYK",52,13,857,82,217,23,86,28,43,12,86,107,34,8,56,74,215,193,99,"Wichita State University",1993,"Kansas"
"Rondae Hollis-Jefferson","BRK",78,50,1761,235,542,15,67,190,253,96,356,154,82,44,116,177,675,201,99,"University of Arizona",1995,"Pennsylvania"
"Ronnie Price","PHO",14,0,134,4,24,3,17,3,4,3,8,18,11,1,3,14,14,188,86,"Utah Valley State College",1983,"Texas"
